player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Jamari Johnson,174706,TE,OREGON,6,8,0,264,0,-3.5,1,100.0,,0,0,0.0,0,2,0,86.7,93.1,0,13,33.3,4,12,2,66.7,8,137.5,2,25.0,1,15,22,11.0,7.5,1.88,6.5,0,100.0,100.0,1,1,0.0,0,1,0,80.1,66.4,0,8,8.3,2,24,2,87.5,21,93.8,2,9.5,0,13,0,0.0,6.5,0.62
Greg Desrosiers Jr.,158759,HB,MEMPHIS,4,8,0,218,0,-2.5,0,100.0,,0,0,0.0,0,2,0,86.7,95.6,0,15,11.1,1,9,2,88.9,8,141.7,2,25.0,1,17,22,11.0,8.5,2.13,,0,,,0,0,,0,0,0,80.1,71.1,0,0,0.0,0,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0
Abu Sama III,174686,HB,IOWA STATE,7,8,0,193,0,-5.0,0,100.0,,0,0,0.0,0,0,0,81.5,60.4,0,3,0.0,0,5,1,100.0,5,79.2,1,20.0,0,3,8,8.0,3.0,0.6,,0,,,0,0,,0,0,0,41.2,43.3,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0
Rickey Hunt Jr.,171350,HB,MIDDLE TN,5,8,0,224,0,-4.0,0,100.0,,0,0,0.0,0,1,0,90.0,64.2,0,34,0.0,0,7,3,100.0,7,118.8,3,42.9,0,39,51,17.0,13.0,5.57,-5.0,0,100.0,,0,0,0.0,0,0,0,84.2,58.0,0,4,0.0,0,7,2,100.0,7,79.2,2,28.6,0,5,15,7.5,2.5,0.71
Kobe Paysour,143974,WR,N CAROLINA,5,8,0,245,0,,0,,,0,0,,0,0,0,,44.0,0,0,0.0,0,13,0,92.3,12,0.0,0,0.0,0,0,0,,,0.0,11.0,0,50.0,,0,0,0.0,0,1,0,31.6,47.4,0,8,0.0,0,17,1,94.1,16,100.0,2,12.5,1,8,3,3.0,8.0,0.5
Frank Covey IV,174054,WR,NWESTERN,5,8,0,256,0,,0,,,0,0,,0,0,0,,47.0,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,5.0,0,0.0,0.0,0,1,,0,0,0,0.0,42.9,0,0,0.0,0,8,0,100.0,8,39.6,1,12.5,0,0,0,,,0.0
Zylan Perry,156734,HB,LA LAFAYET,5,8,0,207,0,-6.0,0,100.0,,0,0,0.0,0,0,0,81.5,58.7,0,-5,0.0,0,7,1,100.0,7,79.2,1,14.3,0,-5,1,1.0,-5.0,-0.71,,0,,,0,0,,0,0,0,81.5,53.8,0,0,0.0,0,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0
Caleb Hood,143964,HB,N CAROLINA,4,8,0,245,0,-2.0,0,83.3,0.0,0,1,0.0,0,1,0,92.6,92.2,1,13,0.0,0,11,5,100.0,11,39.6,6,54.5,0,14,31,6.2,2.8,1.27,,0,,,0,0,,0,0,0,82.7,72.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Brandon Tullis,183545,HB,MICH STATE,6,7,0,223,0,,0,,,0,0,,0,0,0,,48.2,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,80.9,64.6,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Jaden Richardson,183626,WR,USC,6,7,0,326,0,,0,,,0,0,,0,0,0,,44.2,0,0,0.0,0,11,0,100.0,11,0.0,0,0.0,0,0,0,,,0.0,11.0,0,100.0,,0,0,0.0,0,1,0,80.1,69.3,0,11,0.0,0,5,1,100.0,5,112.5,1,20.0,0,11,0,0.0,11.0,2.2
Jyron Waiters,184628,WR,E CAROLINA,2,7,0,156,0,0.8,0,40.0,,0,0,50.0,2,1,0,0.0,38.1,0,17,0.0,0,6,2,100.0,6,53.8,5,83.3,0,22,21,10.5,11.0,3.67,3.4,0,42.9,0.0,0,1,40.0,2,1,0,26.0,50.1,0,17,0.0,0,23,3,95.7,22,56.8,7,31.8,0,32,20,6.7,10.7,1.45
Rashid Williams,171943,WR,WASHINGTON,2,7,0,340,0,-3.0,0,100.0,,0,0,0.0,0,0,0,81.5,92.2,0,9,0.0,0,2,1,100.0,2,104.2,1,50.0,0,9,12,12.0,9.0,4.5,1.0,0,100.0,,0,0,0.0,0,0,0,80.1,71.9,0,9,0.0,0,9,3,100.0,9,94.4,3,33.3,0,20,17,5.7,6.7,2.22
Omiri Wiggins,183950,HB,LA TECH,6,7,0,208,0,-4.7,1,100.0,,0,0,0.0,0,1,0,90.0,79.7,0,5,8.3,1,12,3,91.7,11,80.6,3,27.3,0,10,24,8.0,3.3,0.91,-4.7,1,100.0,,0,0,0.0,0,1,0,55.5,64.4,0,5,0.0,0,8,3,100.0,8,80.6,3,37.5,0,10,24,8.0,3.3,1.25
Ivan Carreon,184591,WR,OKLAHOMA,4,7,0,261,0,0.0,0,100.0,,0,0,0.0,0,0,0,81.5,53.0,0,3,0.0,0,6,1,100.0,6,79.2,1,16.7,0,3,3,3.0,3.0,0.5,,0,,,0,0,,0,0,0,73.1,57.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Sacovie White-Helton,184583,WR,GEORGIA,6,7,0,173,0,-4.7,0,100.0,,0,0,0.0,0,0,0,90.0,81.1,0,8,0.0,0,5,3,100.0,5,90.3,3,60.0,0,17,31,10.3,5.7,3.4,5.3,0,66.7,0.0,0,1,20.0,1,2,0,37.6,61.1,0,17,0.0,0,28,4,89.3,25,86.8,6,24.0,0,42,32,8.0,10.5,1.68
Jay Etheridge,184073,WR,KENT STATE,6,7,0,201,0,,0,,,0,0,,0,0,0,,47.0,0,0,0.0,0,10,0,100.0,10,0.0,0,0.0,0,0,0,,,0.0,5.0,0,50.0,0.0,0,1,0.0,0,0,0,21.7,46.6,1,4,0.0,0,11,1,100.0,11,16.7,2,18.2,0,4,0,0.0,4.0,0.36
Blaze Kamoku,184169,WR,HAWAII,5,7,0,180,0,-2.0,2,100.0,,0,0,0.0,0,1,0,86.7,87.8,0,12,0.0,0,8,2,100.0,8,106.3,2,25.0,0,19,23,11.5,9.5,2.38,4.3,2,85.7,0.0,0,1,0.0,0,3,0,82.2,64.5,0,12,0.0,0,62,6,91.9,57,143.2,7,12.3,1,62,36,6.0,10.3,1.09
Wayshawn Parker,184224,HB,UTAH,6,7,0,328,0,-3.0,2,100.0,,0,0,0.0,0,0,0,86.7,63.8,0,5,0.0,0,14,2,100.0,14,85.4,2,14.3,0,9,15,7.5,4.5,0.64,,0,,,0,0,,0,0,0,44.3,47.7,0,0,8.3,1,12,0,75.0,9,0.0,0,0.0,0,0,0,,,0.0
Christian Clark,184505,HB,TEXAS,5,7,0,311,0,-4.3,1,100.0,,0,0,0.0,0,2,0,90.0,92.6,0,23,10.0,1,10,3,90.0,9,118.8,3,33.3,0,48,61,20.3,16.0,5.33,,0,,,0,0,,0,0,0,76.3,63.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Brady Anderson,190493,WR,ARMY,5,7,0,114,0,,0,,,0,0,,0,0,0,,51.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,73.1,69.6,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Keyvone Lee,129790,HB,UNLV,6,7,0,325,0,-2.0,1,50.0,,0,0,0.0,0,0,0,81.5,81.7,0,9,0.0,0,5,1,100.0,5,62.5,2,40.0,0,9,13,13.0,9.0,1.8,-5.0,0,100.0,,0,0,0.0,0,0,0,79.3,59.1,0,-1,0.0,0,5,1,60.0,3,79.2,1,33.3,0,-1,4,4.0,-1.0,-0.33
Kade Frew,173863,HB,AIR FORCE,6,7,0,101,0,,0,,,0,0,,0,0,0,,50.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,2.5,0,50.0,,0,0,0.0,0,0,0,74.9,53.7,0,3,11.1,1,9,1,88.9,8,56.3,2,25.0,0,3,2,2.0,3.0,0.38
Michael Scott,198579,WR,JAMES MAD,6,7,0,197,0,-2.0,1,50.0,,0,0,50.0,1,0,1,0.0,18.2,0,3,0.0,0,4,1,100.0,4,56.3,2,50.0,0,3,6,6.0,3.0,0.75,4.2,1,60.0,0.0,0,1,0.0,0,1,1,33.4,44.6,0,14,0.0,0,36,3,94.4,34,72.9,5,14.7,0,25,14,4.7,8.3,0.74
TJ Horton,173999,HB,BALL ST,5,7,0,117,0,-4.5,2,100.0,,0,0,0.0,0,3,0,93.6,94.5,0,14,13.3,2,15,6,86.7,13,94.4,6,46.2,0,40,67,11.2,6.7,3.08,-4.7,1,100.0,,0,0,0.0,0,0,0,58.9,60.0,0,6,0.0,0,9,3,100.0,9,79.2,3,33.3,0,9,23,7.7,3.0,1.0
Kaden Feagin,174024,HB,ILLINOIS,7,7,0,187,0,-4.0,1,100.0,,0,0,0.0,0,2,0,90.0,90.4,0,64,15.8,3,19,3,84.2,16,158.3,3,18.8,1,72,84,28.0,24.0,4.5,,0,,,0,0,,0,0,0,80.9,61.7,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Bryce Anderson,198735,TE,MEMPHIS,6,7,0,218,0,,0,,,0,0,,0,0,0,,37.8,0,0,33.3,3,9,0,66.7,6,0.0,0,0.0,0,0,0,,,0.0,10.0,0,0.0,0.0,0,1,,0,0,0,31.6,44.1,0,0,0.0,0,13,0,100.0,13,39.6,1,7.7,0,0,0,,,0.0
Stacy Sneed,123680,HB,HOUSTON,6,7,0,182,0,-6.0,0,100.0,,0,0,0.0,0,0,0,86.7,67.7,0,7,14.3,1,7,2,85.7,6,79.2,2,33.3,0,6,18,9.0,3.0,1.0,,0,,,0,0,,0,0,0,61.0,56.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Andrew Rappleyea,170294,TE,PENN STATE,6,7,0,266,0,-2.0,0,100.0,,0,0,0.0,0,1,0,81.5,48.6,0,5,25.0,2,8,1,75.0,6,87.5,1,16.7,0,5,7,7.0,5.0,0.83,7.0,0,100.0,,0,0,0.0,0,0,0,77.5,56.9,0,11,0.0,0,24,1,100.0,24,112.5,1,4.2,0,11,4,4.0,11.0,0.46
Jordon Simmons,129634,HB,GA STATE,5,7,0,175,0,-3.5,0,100.0,,0,0,0.0,0,1,0,86.7,66.8,0,15,0.0,0,7,2,100.0,7,93.8,2,28.6,0,13,20,10.0,6.5,1.86,,0,,,0,0,,0,0,0,81.5,82.1,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Justin Smith-Brown,142775,WR,W VIRGINIA,6,7,0,343,0,0.0,0,100.0,,0,0,0.0,0,0,0,81.5,54.4,0,4,0.0,0,5,1,100.0,5,83.3,1,20.0,0,4,4,4.0,4.0,0.8,9.5,1,50.0,0.0,0,1,0.0,0,1,0,78.5,58.8,0,56,0.0,0,3,1,66.7,2,95.8,2,100.0,0,56,55,55.0,56.0,28.0
Semaj Pierre,199107,WR,RICE,6,7,0,275,0,-4.0,0,100.0,,0,0,0.0,0,1,0,86.7,54.5,0,17,0.0,0,6,2,100.0,6,118.8,2,33.3,0,31,39,19.5,15.5,5.17,-1.7,2,100.0,,0,0,0.0,0,0,0,74.9,51.6,0,4,0.0,0,15,3,93.3,14,79.2,3,21.4,0,3,8,2.7,1.0,0.21
CJ Baxter,173153,HB,TEXAS,2,7,0,311,0,-6.0,0,100.0,,0,0,0.0,0,0,0,81.5,58.6,0,-5,0.0,0,6,1,100.0,6,79.2,1,16.7,0,-5,1,1.0,-5.0,-0.83,,0,,,0,0,,0,0,0,80.1,62.4,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Jonathan Brady,156940,WR,INDIANA,6,7,0,190,0,-2.0,1,100.0,,0,0,0.0,0,1,0,86.7,81.6,0,12,0.0,0,4,1,75.0,3,156.3,1,33.3,1,12,14,14.0,12.0,4.0,9.0,1,85.7,,0,0,0.0,0,5,0,80.9,68.2,0,12,0.0,0,35,6,88.6,31,134.2,7,22.6,2,47,17,2.8,7.8,1.52
Tuli Tagovailoa-Amosa,199152,WR,S JOSE ST,5,7,0,285,0,,0,,,0,0,,0,0,0,,51.9,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,6.0,0,57.1,66.7,2,3,0.0,0,0,0,82.2,49.7,0,8,0.0,0,63,4,92.1,58,64.6,7,12.1,0,25,2,0.5,6.3,0.43
Antonio Harris,190906,HB,PURDUE,6,7,0,273,0,-5.4,0,80.0,,0,0,0.0,0,3,0,91.4,94.2,0,22,0.0,0,9,4,100.0,9,110.0,5,55.6,0,52,74,18.5,13.0,5.78,,0,,,0,0,,0,0,0,80.1,87.0,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Tucker Holloway,157640,WR,VA TECH,4,7,0,337,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,3.0,0,0.0,0.0,0,1,100.0,1,0,0,37.6,62.3,0,0,0.0,0,5,0,60.0,3,39.6,1,33.3,0,0,0,,,0.0
Rod Gibbs,190082,TE,S ALABAMA,6,7,0,288,0,0.0,0,100.0,,0,0,0.0,0,0,0,81.5,69.6,0,9,28.6,4,14,1,71.4,10,104.2,1,10.0,0,9,9,9.0,9.0,0.9,,0,,,0,0,,0,0,0,70.7,51.4,0,0,6.3,1,16,0,87.5,14,0.0,0,0.0,0,0,0,,,0.0
Star Thomas,156926,HB,TENNESSEE,6,7,0,307,0,-3.5,2,75.0,,0,0,25.0,1,1,0,22.1,43.7,0,17,11.1,2,18,3,88.9,16,133.3,4,25.0,1,28,39,13.0,9.3,1.75,-3.0,0,0.0,,0,0,100.0,1,0,0,49.5,60.1,0,0,0.0,0,2,0,100.0,2,39.6,1,50.0,0,0,0,,,0.0
Josh Sterzer,128399,TE,UTAH ST,6,7,0,329,0,,0,,,0,0,,0,0,0,,40.3,0,0,16.7,2,12,0,66.7,8,0.0,0,0.0,0,0,0,,,0.0,7.7,0,66.7,,0,0,0.0,0,1,0,37.6,47.3,0,18,0.0,0,36,2,83.3,30,89.6,3,10.0,0,23,5,2.5,11.5,0.77
Jaquez Moore,143866,HB,DUKE,6,7,0,154,0,,0,,,0,0,,0,0,0,,47.4,0,0,0.0,0,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,26.2,40.6,0,0,0.0,0,1,0,0.0,0,0.0,0,,0,0,0,,,
Gavin Garcia,156916,HB,KENT STATE,6,7,0,201,0,-2.8,0,50.0,,0,0,0.0,0,1,0,86.7,90.1,1,38,0.0,0,12,2,100.0,12,47.9,4,33.3,0,42,52,26.0,21.0,3.5,,0,,,0,0,,0,0,0,74.9,58.2,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Dennis Murray Jr.,189969,HB,GA STATE,6,7,0,175,0,,0,,,0,0,,0,0,0,,49.1,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,81.5,60.6,0,0,0.0,0,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0
Alex Tecza,162587,HB,NAVY,6,7,0,237,0,-4.7,4,100.0,,0,0,0.0,0,3,0,90.0,98.7,0,14,16.7,1,6,3,83.3,5,113.9,3,60.0,0,34,48,16.0,11.3,6.8,-4.0,4,100.0,,0,0,0.0,0,2,0,80.1,92.6,0,10,0.0,0,4,2,100.0,4,108.3,2,50.0,0,20,28,14.0,10.0,5.0
Mikey Welsh,158809,WR,S DIEGO ST,5,7,0,284,0,-1.0,0,100.0,,0,0,0.0,0,0,0,81.5,57.5,0,7,0.0,0,3,1,100.0,3,95.8,1,33.3,0,7,8,8.0,7.0,2.33,15.3,1,50.0,,0,0,33.3,1,2,0,41.9,73.5,0,44,0.0,0,13,2,100.0,13,95.8,4,30.8,0,60,35,17.5,30.0,4.62
Jaydon Johnson,156741,WR,LA LAFAYET,6,7,0,207,0,,0,,,0,0,,0,0,0,,47.5,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,11.5,0,50.0,,0,0,0.0,0,0,0,16.6,42.9,0,10,0.0,0,76,3,86.8,66,60.4,6,9.1,0,24,7,2.3,8.0,0.36
Bo Jackson,199864,HB,OHIO STATE,5,7,0,260,0,-5.0,0,100.0,,0,0,0.0,0,1,0,81.5,90.3,0,17,0.0,0,5,1,100.0,5,158.3,1,20.0,1,17,22,22.0,17.0,3.4,,0,,,0,0,,0,0,0,76.3,63.1,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0
Sage Ennis,122147,TE,VIRGINIA,5,7,0,335,0,,0,,,0,0,,0,0,0,,43.7,0,0,15.4,2,13,0,84.6,11,0.0,0,0.0,0,0,0,,,0.0,10.0,0,50.0,,0,0,0.0,0,0,0,78.5,61.7,0,8,2.7,1,37,1,94.6,35,60.4,2,5.7,0,8,4,4.0,8.0,0.23
Tyson Thompson,121708,TE,RICE,7,7,0,275,0,-3.0,0,100.0,,0,0,0.0,0,1,0,86.7,64.7,0,4,13.3,2,15,2,80.0,12,81.3,2,16.7,0,7,13,6.5,3.5,0.58,-3.0,0,100.0,,0,0,0.0,0,1,0,31.6,50.9,0,4,0.0,0,17,2,100.0,17,81.3,2,11.8,0,7,13,6.5,3.5,0.41
Terion Stewart,130386,HB,VA TECH,5,7,0,337,0,-5.0,0,100.0,,0,0,0.0,0,0,0,81.5,54.1,0,6,0.0,0,8,1,100.0,8,91.7,1,12.5,0,6,11,11.0,6.0,0.75,-5.0,0,100.0,,0,0,0.0,0,0,0,27.6,38.9,0,6,0.0,0,4,1,100.0,4,91.7,1,25.0,0,6,11,11.0,6.0,1.5
Oscar Adaway III,100835,HB,S CAROLINA,6,7,0,289,0,-4.7,1,100.0,,0,0,0.0,0,1,0,90.0,95.0,0,14,0.0,0,3,3,100.0,3,106.9,3,100.0,0,29,43,14.3,9.7,9.67,,0,,,0,0,,0,0,0,78.5,64.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Dillon Newton-Short,200284,WR,VIRGINIA,4,7,0,335,0,,0,,,0,0,,0,0,0,,48.6,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,79.3,79.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Landon Ransom-Goelz,126402,WR,RICE,4,7,0,275,0,-1.0,1,100.0,,0,0,0.0,0,2,0,91.4,78.0,0,11,12.5,2,16,4,87.5,14,90.6,4,28.6,0,23,27,6.8,5.8,1.64,15.0,0,0.0,,0,0,,0,0,0,79.3,68.1,0,0,0.0,0,11,0,100.0,11,39.6,1,9.1,0,0,0,,,0.0
Ajay Allen,156470,HB,TULSA,6,7,0,320,0,,0,,,0,0,,0,0,0,,48.4,0,0,14.3,1,7,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,73.1,52.4,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0
Luke Harpring,189418,TE,GA TECH,6,7,0,176,0,-1.0,0,100.0,,0,0,0.0,0,1,0,86.7,68.7,0,20,0.0,0,12,2,100.0,12,118.8,2,16.7,0,26,28,14.0,13.0,2.17,7.0,1,100.0,,0,0,0.0,0,0,0,80.9,67.2,0,13,0.0,0,18,1,100.0,18,118.8,1,5.6,0,13,6,6.0,13.0,0.72
Larry Simmons,163666,WR,UTAH,6,7,0,328,0,,0,,,0,0,,0,0,0,,46.5,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,22.5,0,100.0,100.0,1,1,0.0,0,2,0,73.1,54.3,0,41,0.0,0,18,2,94.4,17,118.8,2,11.8,0,47,2,1.0,23.5,2.76
Chase Farrell,188864,WR,NWESTERN,4,7,0,256,0,-4.0,0,100.0,,0,0,0.0,0,0,1,90.0,28.1,0,8,0.0,0,4,3,100.0,4,83.3,3,75.0,0,12,24,8.0,4.0,3.0,10.8,0,33.3,,0,0,0.0,0,0,1,74.9,40.0,0,7,0.0,0,18,2,100.0,18,42.4,6,33.3,0,4,12,6.0,2.0,0.22
Jaylen Hampton,188746,WR,CHARLOTTE,4,7,0,136,0,,0,,,0,0,,0,0,0,,49.1,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,21.0,0,0.0,0.0,0,1,,0,0,0,73.1,57.6,0,0,0.0,0,1,0,100.0,1,39.6,1,100.0,0,0,0,,,0.0
Jojo Phillips,175038,WR,BYU,2,7,0,128,0,-1.5,0,50.0,,0,0,50.0,1,0,0,0.2,33.8,0,2,0.0,0,9,1,100.0,9,56.3,2,22.2,0,2,3,3.0,2.0,0.22,-1.0,0,100.0,,0,0,0.0,0,0,0,26.2,49.7,0,2,0.0,0,4,1,100.0,4,79.2,1,25.0,0,2,3,3.0,2.0,0.5
Mekhi Mews,155982,WR,HOUSTON,6,7,0,182,0,-4.0,2,100.0,,0,0,0.0,0,2,0,92.6,83.5,0,16,0.0,0,10,5,100.0,10,82.5,5,50.0,0,19,39,7.8,3.8,1.9,1.0,2,85.7,0.0,0,1,0.0,0,3,0,80.1,65.6,0,16,0.0,0,24,6,91.7,22,81.0,7,31.8,0,24,41,6.8,4.0,1.09
Noah Thomas,158678,WR,GEORGIA,6,7,0,173,0,,0,,,0,0,,0,0,0,,46.1,0,0,0.0,0,11,0,100.0,11,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,76.3,48.6,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0
Rod Gainey Jr.,193130,HB,CHARLOTTE,5,7,0,136,0,-6.0,0,100.0,,0,0,0.0,0,0,1,86.7,23.5,0,1,0.0,0,8,2,100.0,8,79.2,2,25.0,0,-1,11,5.5,-0.5,-0.13,,0,,,0,0,,0,0,0,61.0,41.5,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Victor Rosa,158629,HB,UCONN,6,7,0,146,0,-5.0,0,100.0,,0,0,0.0,0,0,0,81.5,60.4,0,0,14.3,1,7,1,85.7,6,79.2,1,16.7,0,0,5,5.0,0.0,0.0,1.0,1,100.0,,0,0,0.0,0,1,0,81.5,82.8,0,65,0.0,0,4,1,75.0,3,158.3,1,33.3,1,65,64,64.0,65.0,21.67
Rico Walker,170209,TE,PURDUE,4,7,0,273,0,-0.7,1,66.7,,0,0,0.0,0,1,0,86.7,96.6,0,9,37.5,3,8,2,62.5,5,81.3,3,60.0,0,17,22,11.0,8.5,3.4,12.0,0,50.0,100.0,1,1,50.0,1,0,0,34.2,51.8,0,7,0.0,0,14,1,92.9,13,58.3,2,15.4,0,7,0,0.0,7.0,0.54
Anthony Miller,175984,TE,TULANE,6,7,0,319,0,,0,,,0,0,,0,0,0,,46.6,0,0,16.7,1,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,13.0,0,50.0,50.0,1,2,0.0,0,1,0,53.4,71.5,0,7,7.1,1,14,1,85.7,12,58.3,2,16.7,0,7,0,0.0,7.0,0.58
Braylon McReynolds,157876,HB,LA MONROE,6,7,0,209,0,-7.3,2,100.0,,0,0,0.0,0,1,0,91.4,93.6,0,11,0.0,0,11,4,90.9,10,90.6,4,40.0,0,23,52,13.0,5.8,2.3,,0,,,0,0,,0,0,0,79.3,81.8,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Zion Taylor,170079,WR,GA TECH,6,7,0,176,0,-4.0,0,100.0,,0,0,0.0,0,0,0,86.7,49.6,0,5,0.0,0,14,2,92.9,13,79.2,2,15.4,0,6,14,7.0,3.0,0.46,0.0,0,100.0,,0,0,0.0,0,0,0,78.5,57.5,0,8,0.0,0,11,3,100.0,11,86.1,3,27.3,0,14,14,4.7,4.7,1.27
Karmello English,176212,WR,COAST CAR,6,7,0,141,0,-2.7,0,100.0,,0,0,0.0,0,1,0,90.0,53.1,0,2,0.0,0,27,3,96.3,26,79.2,3,11.5,0,0,8,2.7,0.0,0.0,-5.0,0,100.0,,0,0,0.0,0,0,0,38.4,45.3,0,-4,0.0,0,3,1,100.0,3,79.2,1,33.3,0,-4,1,1.0,-4.0,-1.33
Jackson Harper,171048,WR,UCONN,3,7,0,146,0,-2.8,3,100.0,,0,0,0.0,0,1,0,92.6,82.1,0,19,0.0,0,10,5,100.0,10,132.1,5,50.0,1,31,45,9.0,6.2,3.1,0.9,3,85.7,,0,0,0.0,0,2,0,83.3,75.8,0,19,0.0,0,17,6,100.0,17,135.4,7,41.2,1,49,55,9.2,8.2,2.88
Terrez Worthy,190679,HB,TEMPLE,4,7,0,306,0,,0,,,0,0,,0,0,0,,46.4,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,5.0,0,100.0,,0,0,0.0,0,0,0,83.3,57.6,0,7,0.0,0,15,1,93.3,14,95.8,1,7.1,0,7,2,2.0,7.0,0.5
Johnny Pascuzzi,144863,TE,TULANE,6,7,0,319,0,,0,,,0,0,,0,0,0,,41.5,0,0,30.8,4,13,0,69.2,9,0.0,0,0.0,0,0,0,,,0.0,7.0,0,100.0,,0,0,0.0,0,0,0,73.1,53.7,0,8,20.0,4,20,1,80.0,16,100.0,1,6.3,0,8,1,1.0,8.0,0.5
Jaivian Thomas,176564,HB,UCLA,6,7,0,324,0,-4.0,0,100.0,,0,0,0.0,0,0,0,81.5,61.7,0,7,0.0,0,3,1,100.0,3,95.8,1,33.3,0,7,11,11.0,7.0,2.33,-2.0,0,50.0,,0,0,0.0,0,0,0,79.3,58.3,0,7,0.0,0,8,1,100.0,8,58.3,2,25.0,0,7,11,11.0,7.0,0.88
Malachi Hosley,177483,HB,GA TECH,6,7,0,176,0,-5.5,0,100.0,,0,0,0.0,0,1,0,90.0,58.6,0,24,5.0,1,20,2,90.0,18,106.3,2,11.1,0,19,30,15.0,9.5,1.06,,0,,,0,0,,0,0,0,80.1,53.7,0,0,0.0,0,9,0,88.9,8,0.0,0,0.0,0,0,0,,,0.0
Roman Hemby,144891,HB,INDIANA,6,7,0,190,0,-3.0,1,100.0,,0,0,0.0,0,1,0,81.5,71.0,0,9,26.7,4,15,1,73.3,11,104.2,1,9.1,0,9,12,12.0,9.0,0.82,,0,,,0,0,,0,0,0,80.1,71.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
