player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Chris Reed,158502,WR,SM HOUSTON,6,15,0,281,0,,0,,,0,0,,0,0,0,,44.6,0,0,0.0,0,11,0,100.0,11,0.0,0,0.0,0,0,0,,,0.0,8.0,0,0.0,,0,0,,0,0,0,41.1,56.7,0,0,33.3,1,3,0,66.7,2,39.6,1,50.0,0,0,0,,,0.0
Joe Jackson,173106,HB,KANSAS ST,7,15,0,199,0,-4.0,0,100.0,,0,0,0.0,0,0,0,81.5,50.8,0,3,0.0,0,9,1,100.0,9,79.2,1,11.1,0,3,7,7.0,3.0,0.33,1.7,0,66.7,,0,0,0.0,0,1,0,77.2,54.3,0,7,5.3,1,19,2,94.7,18,70.1,3,16.7,0,6,6,3.0,3.0,0.33
Matt Wagner,176320,TE,BOISE ST,6,15,0,120,0,-2.5,0,100.0,,0,0,0.0,0,1,0,86.7,73.7,0,28,0.0,0,11,2,100.0,11,118.8,2,18.2,0,33,38,19.0,16.5,3.0,14.0,0,100.0,100.0,1,1,0.0,0,1,0,44.3,56.2,0,15,3.2,1,31,1,87.1,27,118.8,1,3.7,0,15,1,1.0,15.0,0.56
Devin Mockobee,145111,HB,PURDUE,6,15,0,273,0,-4.0,1,85.7,,0,0,14.3,1,2,0,46.4,75.6,0,29,0.0,0,22,6,100.0,22,104.8,7,31.8,0,64,89,14.8,10.7,2.91,,0,,,0,0,,0,0,0,61.5,56.5,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Caden Jensen,176351,TE,LA LAFAYET,6,15,0,207,0,,0,,,0,0,,0,0,0,,46.4,0,0,33.3,3,9,0,66.7,6,0.0,0,0.0,0,0,0,,,0.0,1.7,0,100.0,,0,0,0.0,0,0,0,34.7,36.1,0,5,0.0,0,33,3,93.9,31,79.2,3,9.7,0,9,4,1.3,3.0,0.29
Darius Taylor,173422,HB,MINNESOTA,4,15,0,225,0,-3.2,2,80.0,,0,0,20.0,1,2,0,30.0,89.6,0,40,0.0,0,7,4,100.0,7,112.5,5,71.4,0,55,68,17.0,13.8,7.86,,0,,,0,0,,0,0,0,41.6,76.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Dominic Overby,191310,WR,IOWA STATE,7,15,0,193,0,,0,,,0,0,,0,0,0,,51.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,20.3,0,50.0,50.0,1,2,0.0,0,1,0,58.9,60.7,0,23,0.0,0,24,2,95.8,23,112.5,4,17.4,1,28,0,0.0,14.0,1.22
Seydou Traore,147046,TE,MISS STATE,6,15,0,227,0,-2.0,1,100.0,,0,0,0.0,0,1,0,86.7,62.7,0,1,7.1,1,14,2,92.9,13,118.8,2,15.4,1,1,5,2.5,0.5,0.08,11.8,1,80.0,,0,0,0.0,0,2,0,55.5,52.0,0,57,0.0,0,73,4,91.8,67,158.3,5,7.5,1,78,30,7.5,19.5,1.16
Troy Omeire,123124,WR,UNLV,6,15,0,325,0,,0,,,0,0,,0,0,0,,45.2,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,63.6,63.8,0,0,0.0,0,7,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0
Tre Spivey,173119,WR,ARIZONA,6,14,0,109,0,,0,,,0,0,,0,0,0,,46.2,0,0,0.0,0,9,0,100.0,9,0.0,0,0.0,0,0,0,,,0.0,12.4,0,60.0,100.0,1,1,0.0,0,3,0,82.7,68.2,1,16,8.3,1,12,3,91.7,11,84.6,5,45.5,2,39,19,6.3,13.0,3.55
TJ Lott,172287,WR,DOMINION,4,14,0,263,0,-1.5,0,83.3,0.0,0,1,0.0,0,1,0,92.6,90.6,0,12,0.0,0,11,5,100.0,11,88.9,6,54.5,0,32,38,7.6,6.4,2.91,8.5,0,61.5,0.0,0,1,0.0,0,3,0,83.3,73.1,0,34,0.0,0,44,8,97.7,43,105.9,13,30.2,1,84,40,5.0,10.5,1.95
Louis Brown IV,163319,WR,BAYLOR,4,14,0,118,0,2.0,0,100.0,,0,0,0.0,0,1,0,86.7,54.7,0,18,0.0,0,8,2,100.0,8,112.5,2,25.0,0,22,18,9.0,11.0,2.75,,0,,,0,0,,0,0,0,64.6,61.7,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Myles Montgomery,144232,HB,UCF,6,14,0,323,0,-3.0,0,50.0,,0,0,50.0,1,1,0,0.0,33.5,0,32,0.0,0,16,1,100.0,16,95.8,2,12.5,0,32,36,36.0,32.0,2.0,-3.0,1,100.0,,0,0,0.0,0,0,0,35.9,50.9,0,9,0.0,0,9,1,88.9,8,104.2,1,12.5,0,9,12,12.0,9.0,1.13
Tyler Griffin,158436,WR,LA MONROE,6,14,0,209,0,,0,,,0,0,,0,0,0,,46.0,0,0,0.0,0,8,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0,8.0,0,100.0,,0,0,0.0,0,1,0,64.6,79.8,0,48,0.0,0,3,1,100.0,3,118.8,1,33.3,0,48,40,40.0,48.0,16.0
William Fowles,174702,WR,APP STATE,6,14,0,108,0,,0,,,0,0,,0,0,0,,41.5,0,0,0.0,0,19,0,100.0,19,0.0,0,0.0,0,0,0,,,0.0,9.0,0,50.0,0.0,0,1,0.0,0,1,0,24.6,49.6,0,19,0.0,0,35,2,94.3,33,71.9,4,12.1,0,27,11,5.5,13.5,0.82
