player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Moroni Anae,81437,LB,UTAH,2,7,0,328,0,,,62.5,,,0,0,,62.2,0,,,0,0,0.0,0,5,71.4,8,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,62.1,0,,0.0,0,0,0.0,0,2,28.6,2,0,1,0,0,0,0,0.0,
Brendon Harris,83446,S,MIDDLE TN,6,76,0,224,0,-1.5,50.0,95.7,22.0,11.0,0,0,0.0,64.7,0,-1,33.3,1,0,56.3,1,22,28.9,23,2,2,2,0,-1,2,0.0,-1.0,0,1,11.5,75.0,94.1,15.3,11.5,0,0,0.0,66.5,0,42,0.0,0,0,116.7,3,48,63.2,51,1,1,4,0,52,10,1.1,17.3
Jayden Dunlap,85725,CB,BYU,5,33,0,128,0,39.0,100.0,100.0,12.0,12.0,0,0,0.0,49.8,0,35,100.0,1,0,158.3,1,13,39.4,13,0,0,1,1,35,0,2.9,35.0,0,0,25.0,100.0,93.8,15.0,15.0,0,0,0.0,60.1,0,27,0.0,0,0,118.8,1,15,45.5,16,0,1,1,0,27,2,1.8,27.0
Gracen Halton,85774,DI,OKLAHOMA,6,1,0,261,0,,,4.2,,,0,0,,59.4,0,,,0,0,0.0,0,1,100.0,24,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,66,1,0,0,0,0,0,,
Kalib Perry,86267,LB,LOUISVILLE,5,57,0,210,0,,,66.7,,,0,0,,63.4,0,,,0,0,0.0,0,12,21.1,18,0,0,0,0,0,0,0.0,,0,0,6.2,60.0,88.1,12.0,7.2,0,0,0.0,50.5,0,21,50.0,1,0,78.8,3,37,64.9,42,1,1,5,0,32,12,0.9,10.7
Blake Ruffin,86298,S,LOUISVILLE,2,17,0,210,1,,,100.0,,,0,0,,64.4,0,,0.0,0,0,0.0,0,6,35.3,6,0,0,0,0,0,0,0.0,,0,0,-3.0,100.0,90.0,9.0,9.0,0,0,0.0,69.1,0,7,25.0,1,0,95.8,1,9,52.9,10,1,3,1,0,7,10,0.8,7.0
Jalil Tucker,86578,CB,OREGON ST,6,147,0,265,1,18.0,53.8,100.0,6.1,3.3,0,3,23.1,60.7,1,61,42.9,3,1,84.5,7,47,32.0,47,2,3,13,1,137,51,3.2,19.6,0,0,15.4,70.0,100.0,8.3,5.8,0,0,0.0,52.6,0,35,0.0,0,0,145.8,7,59,40.1,59,1,4,10,1,131,38,2.3,18.7
Ceyair Wright,86877,CB,NEBRASKA,6,153,0,238,1,13.7,33.3,100.0,22.3,7.4,0,0,0.0,55.5,0,16,50.0,1,0,42.4,3,72,47.1,72,0,0,9,0,26,26,0.4,8.7,0,1,1.6,50.0,100.0,17.5,8.8,0,2,25.0,71.0,0,7,40.0,2,1,56.3,4,71,46.4,71,1,2,8,0,15,29,0.2,3.8
David Reese,90079,ED,SYRACUSE,6,38,0,304,0,-4.0,100.0,10.4,7.0,7.0,0,0,0.0,53.8,0,21,0.0,0,0,118.8,1,8,21.1,77,0,1,1,0,21,25,3.0,21.0,0,0,5.5,50.0,28.7,28.0,14.0,0,0,0.0,53.8,0,9,0.0,0,0,62.5,1,29,76.3,101,1,1,2,0,9,11,0.3,9.0
Chance Tucker,90524,CB,NOTRE DAME,2,6,0,258,0,,,100.0,,,0,0,,63.2,0,,,0,0,0.0,0,5,83.3,5,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,16.7,1,0,0,0,0,0,0,0.0,
